17000,0,13428,778
17000,0,13433,775
17000,0,13436,785
17000,0,13424,776
17000,0,13432,773
17000,0,13435,776
17000,0,13412,756
17000,0,13416,780
17000,0,13432,776
17000,0,13440,751
17000,0,13400,776
17000,0,13425,756
17000,0,13420,759
17000,0,13428,777
17000,0,13422,776
17000,0,13412,824
17000,0,13413,780
17000,0,13421,781
17000,0,13413,777
17000,0,13419,776
17000,0,13420,782
17000,0,13444,782
17000,0,13424,776
17000,0,13418,776
17000,0,13426,778
17000,0,13408,778
17000,0,13424,780
17000,0,13420,758
17000,0,7877,764
17000,0,1807,741
17000,0,1311,736
17000,0,1215,728
17000,0,1099,714
17000,0,863,740
17000,0,863,736
17000,0,814,740
17000,0,815,740
17000,0,815,732
17000,0,825,738
17000,0,837,735
17000,0,827,728
17000,0,811,734
17000,0,815,736
17000,0,815,722
17000,0,811,738
17000,0,837,739
17000,0,817,746
17000,0,803,734
17000,0,815,724
17000,0,791,732
17000,0,831,732
17000,0,805,720
17000,0,819,732
17000,0,815,745
17000,0,811,784
17000,0,822,732
17000,0,815,728
17000,0,791,738
17000,0,795,734
17000,0,807,738
17000,0,863,730
17000,0,775,736
17000,0,827,730
17000,0,814,765
17000,0,815,734
17000,0,811,738
17000,0,824,740
17000,0,794,728
17000,0,815,736
17000,0,767,732
17000,0,813,732
17000,0,819,753
17000,0,823,716
17000,0,811,742
17000,0,811,716
17000,0,839,732
17000,0,817,736
17000,0,811,742
17000,0,843,732
17000,0,811,720
17000,0,766,734
17000,0,815,742
17000,0,815,725
17000,0,813,730
17000,0,813,742
17000,0,827,734
17000,0,809,737
17000,0,815,744
17000,0,811,732
17000,0,819,732
17000,0,811,740
17000,0,815,715
17000,0,815,734
17000,0,791,725
17000,0,815,737
17000,0,819,732
17000,0,815,739
17000,0,767,740
17000,0,806,740
17000,0,807,729
17000,0,811,734
17000,0,773,732
17000,0,811,740
17000,0,811,732
17000,0,827,738
17000,0,773,734
17000,0,827,780
17000,0,787,738
17000,0,813,738
17000,0,815,698
17000,0,783,736
17000,0,823,738
17000,0,763,730
17000,0,815,758
17000,0,775,728
17000,0,815,730
17000,0,823,742
17000,0,847,754
17000,0,815,744
17000,0,797,696
17000,0,815,732
17000,0,807,732
17000,0,805,738
17000,0,805,721
17000,0,814,742
17000,0,817,736
17000,0,811,693
17000,0,814,730
17000,0,819,732
17000,0,815,741
17000,0,815,730
17000,0,766,736
17000,0,815,735
17000,0,815,740
17000,0,799,740
17000,0,815,796
17000,0,821,796
17000,0,807,738
17000,0,815,728
17000,0,815,734
17000,0,814,732
17000,0,815,730
17000,0,791,728
17000,0,812,736
17000,0,816,742
17000,0,790,740
17000,0,798,767
17000,0,815,721
17000,0,829,732
17000,0,813,740
17000,0,815,760
17000,0,811,696
17000,0,807,730
17000,0,813,735
17000,0,819,687
17000,0,811,732
